978-0241351574
978-0471295631
978-0674988002
978-0385544054
978-0393254693
978-0316449618
978-0374254902
978-1476733524
978-1595348722
978-1617230127
978-1780239033
978-0143127154
978-0262038850
978-1594482960
978-0691176703
978-0143113454
978-1451691597
978-0143118749
978-0399576423
978-1101981610
978-0393634990
978-0691179995
978-1476770512
978-0312381851
978-1250114570
978-0691191911
978-1612195186
978-1400096237
978-0465096053
978-1541616783
978-0307962430
978-0465093779
978-0307280503
