978-0465096336
978-1610390446
978-0812979688
978-0525954187
978-1620405598
978-1429953924
978-1501133909
978-0307907066
978-0099268703
978-0060009762
978-1101904190
978-1408700839
978-0300218954
978-0393352986
978-0802128799
978-0307961730
978-0393049343
978-0374532505
978-0441013593
978-1118362419
978-0553573404
